age,sex,geo\time	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 
Y15-24,F,AT	9.4 b	8.7 	8.8 	8.8 	9.4 	8.2 	9.1 	9.3 	9.9 	10.7 b	6.8 	6.6 	5.8 	5.6 	6.4 
Y15-24,F,AT1	12.3 	11.4 	12.0 	11.2 	11.4 	10.3 	10.2 	11.7 	12.0 	15.4 	9.1 u	6.8 u	6.7 u	5.5 u	6.3 u
Y15-24,F,AT11	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
Y15-24,F,AT12	10.6 u	6.6 u	8.2 u	7.7 u	10.2 u	9.4 u	8.2 u	8.2 u	8.2 u	12.9 u	: u	: u	: u	: u	: u
Y15-24,F,AT13	14.9 	16.6 	16.4 	14.6 	12.9 	11.9 	12.2 	15.0 	15.6 	19.3 u	11.2 u	: u	: u	: u	: u
Y15-24,F,AT2	9.8 u	7.8 u	6.1 u	8.7 u	9.4 u	6.7 u	8.3 u	9.2 u	9.7 u	: u	: u	: u	9.0 u	: u	: u
Y15-24,F,AT21	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
Y15-24,F,AT22	9.9 u	: u	: u	9.1 u	9.9 u	: u	7.5 u	9.1 u	7.9 u	: u	: u	: u	: u	: u	: u
Y15-24,F,AT3	6.4 	6.6 	7.1 	6.6 	7.5 	7.0 	8.5 	7.1 	8.0 	8.1 u	5.4 u	5.7 u	: u	4.4 u	7.0 u
Y15-24,F,AT31	7.3 u	6.5 u	6.9 u	6.0 u	8.0 u	6.7 u	9.4 u	6.2 u	7.4 u	: u	: u	: u	: u	: u	8.9 u
Y15-24,F,AT32	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
Y15-24,F,AT33	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
Y15-24,F,AT34	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
Y15-24,F,BE	22.5 	18.9 	18.7 	22.4 	22.5 	18.7 	20.9 	22.6 	22.1 	19.5 	17.5 	15.2 	16.6 	18.2 	22.4 
Y15-24,F,BE1	36.0 	32.0 	32.5 	38.9 	30.4 	32.6 	36.4 	36.2 	33.8 	: u	: u	: u	: u	: u	: u
Y15-24,F,BE10	36.0 	32.0 	32.5 	38.9 	30.4 	32.6 	36.4 	36.2 	33.8 	: u	: u	: u	: u	: u	: u
Y15-24,F,BE2	16.9 	11.2 	12.9 	15.8 	15.5 	9.7 	12.4 	13.7 	14.4 	14.3 	12.2 	10.1 	8.8 u	10.4 	15.1 
Y15-24,F,BE21	22.1 	8.7 u	14.2 u	16.2 	15.3 u	7.1 u	9.3 u	13.7 u	11.7 u	20.8 u	: u	: u	: u	: u	: u
Y15-24,F,BE22	17.1 u	14.6 u	15.3 u	19.0 u	18.4 u	16.6 u	17.1 u	17.9 u	17.4 u	: u	: u	: u	: u	: u	: u
Y15-24,F,BE23	13.8 u	11.7 u	11.3 u	15.7 u	15.1 u	10.2 u	15.1 u	9.5 u	15.4 u	: u	: u	: u	: u	: u	16.9 u
Y15-24,F,BE24	14.4 u	14.4 u	: u	14.0 u	15.5 u	: u	: u	17.1 u	16.2 u	: u	: u	: u	: u	: u	: u
Y15-24,F,BE25	14.7 u	9.7 u	12.0 u	14.5 u	13.8 u	9.9 u	10.5 u	12.6 u	13.5 u	: u	: u	: u	: 	: u	: u
Y15-24,F,BE3	30.3 	28.0 	26.6 	30.1 	33.0 	32.1 	33.1 	35.6 	34.0 	30.7 	27.2 	22.2 	33.1 	30.9 	35.3 
Y15-24,F,BE31	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
Y15-24,F,BE32	36.4 	33.9 	35.5 	36.4 	42.1 	38.5 	43.6 	43.0 	38.8 	35.5 u	: u	30.5 u	43.0 u	46.8 	43.8 u
Y15-24,F,BE33	26.1 u	24.2 u	21.6 u	29.7 	33.0 	29.0 	29.5 	36.6 	31.6 	38.3 u	: u	: u	: u	: u	35.4 u
Y15-24,F,BE34	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
Y15-24,F,BE35	30.6 u	: u	: u	26.8 u	: u	29.3 u	31.7 u	27.7 u	35.3 u	: u	: u	: u	: u	: u	: u
Y15-24,F,BG	25.7 	26.0 	23.6 b	21.7 	13.8 	11.4 	15.9 	20.3 	21.0 	23.8 	24.1 	31.5 	35.4 	29.6 	: 
Y15-24,F,BG3	30.7 	32.4 	29.0 	23.8 	16.9 	17.0 	21.1 	25.4 	23.3 	30.5 	29.5 	: 	: 	: 	: 
Y15-24,F,BG31	: u	: u	: u	: u	: u	: u	: u	: u	30.5 u	: u	: u	: 	: 	: 	: 
Y15-24,F,BG32	: u	: u	: u	: u	: u	: u	: u	27.3 u	: u	: u	: u	: 	: 	: 	: 
Y15-24,F,BG33	28.1 u	32.3 u	34.0 u	23.7 u	: u	23.6 u	30.2 u	25.3 u	21.7 u	32.9 u	32.9 u	: 	: 	: 	: 
Y15-24,F,BG34	33.0 u	34.9 u	: u	26.1 u	: u	: u	: u	23.5 u	21.4 u	32.4 u	32.2 u	: 	: 	: 	: 
Y15-24,F,BG4	21.1 	20.5 	19.0 	19.8 	10.9 u	5.6 u	10.6 u	15.1 	18.7 	18.0 	18.4 	: 	: 	: 	: 
Y15-24,F,BG41	15.4 u	17.0 u	13.8 u	14.3 u	: u	: u	: u	12.3 u	13.9 u	16.3 u	19.2 u	21.3 u	26.8 	18.7 u	: 
Y15-24,F,BG42	31.3 u	27.5 u	31.8 u	30.4 u	: u	: u	: u	21.8 u	26.8 u	20.6 u	: u	: 	: 	: 	: 
Y15-24,F,CH	8.3 	8.1 	7.8 	8.4 b	9.0 	7.4 	7.4 	7.5 	9.1 	7.4 	8.7 	3.9 	5.5 	4.1 	5.8 
Y15-24,F,CH0	8.3 	8.1 	7.8 	8.4 	9.0 	7.4 	7.4 	7.5 	9.1 	7.4 	8.7 	3.9 	5.5 	4.1 	5.8 
Y15-24,F,CH01	17.1 	12.1 	12.2 	13.3 	11.1 u	11.2 u	10.0 u	10.6 u	16.6 	9.8 u	10.4 u	6.6 u	13.9 u	: 	: 
Y15-24,F,CH02	7.5 	9.8 	7.7 	7.8 	10.1 	7.5 u	10.6 u	7.3 u	8.7 u	6.1 u	8.8 	: u	6.2 u	: 	: 
Y15-24,F,CH03	5.5 u	7.5 u	7.7 u	10.9 u	9.8 u	8.0 u	5.9 u	8.1 u	7.8 u	6.3 u	6.4 u	: u	: u	: 	: 
Y15-24,F,CH04	6.4 u	6.9 u	5.0 u	7.4 u	8.8 u	7.3 u	6.5 u	5.2 u	8.1 u	10.5 u	7.4 u	5.6 u	: u	: 	: 
Y15-24,F,CH05	5.5 u	5.9 u	7.7 u	5.0 u	4.7 u	4.5 u	4.6 u	7.8 u	5.7 u	7.3 u	9.2 u	: u	: u	: 	: 
Y15-24,F,CH06	4.4 u	3.7 u	3.2 u	4.7 u	7.7 u	: u	: u	: u	: u	: u	8.6 u	: u	: u	: 	: 
Y15-24,F,CH07	19.1 u	: u	16.0 u	11.6 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 
Y15-24,F,CY	36.8 	26.7 	21.5 	17.2 	14.0 b	9.4 	9.4 	11.1 	14.7 	9.5 	8.8 	7.6 u	10.2 	13.3 	: 
Y15-24,F,CY0	36.8 	26.7 	21.5 	17.2 	14.0 	9.4 	9.4 	11.1 	14.7 	9.5 	8.8 	7.6 u	10.2 	13.3 	: 
Y15-24,F,CY00	36.8 	26.7 	21.5 	17.2 	14.0 	9.4 	9.4 	11.1 	14.7 	9.5 	8.8 	7.6 u	10.2 	13.3 	: 
Y15-24,F,CZ	19.4 	19.0 	18.0 b	18.5 	16.7 	9.9 	11.0 	18.7 	19.1 	17.9 	17.5 	15.0 	16.2 	16.4 	16.9 
Y15-24,F,CZ0	19.4 	19.0 	18.0 	18.5 	16.7 	9.9 	11.0 	18.7 	19.1 	17.9 	17.5 	15.0 	16.2 	16.4 	16.9 
Y15-24,F,CZ01	7.1 u	10.8 u	10.0 u	4.0 u	8.5 u	3.3 u	4.4 u	4.9 u	7.4 u	6.9 u	9.5 u	8.8 u	9.7 u	8.6 u	8.5 u
Y15-24,F,CZ02	13.7 u	14.2 u	15.4 u	18.9 	16.9 	3.2 u	7.2 u	9.2 u	7.8 u	9.1 u	5.7 u	10.7 u	14.4 u	14.7 	12.5 
Y15-24,F,CZ03	23.1 	12.2 u	14.0 u	15.6 u	16.6 	7.8 u	7.2 u	15.6 	13.8 	13.3 u	8.5 u	7.2 u	5.7 u	12.1 u	10.6 u
Y15-24,F,CZ04	25.7 	32.1 	25.2 	26.6 	27.3 	18.2 	17.8 	31.3 	27.6 	19.8 	18.8 	24.8 	22.0 	24.7 	23.7 
Y15-24,F,CZ05	20.3 	18.8 	18.9 	24.1 	13.0 	8.5 u	10.8 u	11.9 	20.7 	16.1 	20.2 	11.8 u	15.8 	11.8 	12.5 
