"TIME","GEO","GEO_LABEL","AGE","SEX","Value","Flag and Footnotes"
"2004","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","15 years or over","Total","13.5",""
"2005","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","15 years or over","Total","16.3",""
"2006","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","15 years or over","Total","17.6",""
"2007","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","15 years or over","Total","17.1",""
"2008","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","15 years or over","Total","15.9",""
"2009","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","15 years or over","Total","15.7",""
"2010","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","15 years or over","Total","17.3",""
"2011","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","15 years or over","Total","16.9",""
"2012","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","15 years or over","Total","17.4",""
"2013","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","15 years or over","Total","19.2",""
"2004","BE21","Prov. Antwerpen","15 years or over","Total","5.3",""
"2005","BE21","Prov. Antwerpen","15 years or over","Total","6.2",""
"2006","BE21","Prov. Antwerpen","15 years or over","Total","5.7",""
"2007","BE21","Prov. Antwerpen","15 years or over","Total","5.0",""
"2008","BE21","Prov. Antwerpen","15 years or over","Total","4.6",""
"2009","BE21","Prov. Antwerpen","15 years or over","Total","5.7",""
"2010","BE21","Prov. Antwerpen","15 years or over","Total","6.0",""
"2011","BE21","Prov. Antwerpen","15 years or over","Total","5.7",""
"2012","BE21","Prov. Antwerpen","15 years or over","Total","5.3",""
"2013","BE21","Prov. Antwerpen","15 years or over","Total","6.2",""
"2004","BE22","Prov. Limburg (BE)","15 years or over","Total","5.9",""
"2005","BE22","Prov. Limburg (BE)","15 years or over","Total","7.1",""
"2006","BE22","Prov. Limburg (BE)","15 years or over","Total","6.2",""
"2007","BE22","Prov. Limburg (BE)","15 years or over","Total","5.3",""
"2008","BE22","Prov. Limburg (BE)","15 years or over","Total","4.4",""
